n,x_pixel,y_pixel,x_scaled,y_scaled
0,299.0,76.0,0.1346674317909109,0.9982326055651458
1,322.0,94.0,1.2596337837132836,0.966585869788825
2,342.0,126.0,2.23540925452553,0.910437108127689
3,349.0,152.0,2.5747070791381876,0.8648658801642175
4,354.0,261.0,2.8034764463456607,0.6739479262631594
5,376.0,288.0,3.8780614533882787,0.626544904877329
6,409.0,328.0,5.4900140852417945,0.5563160201425723
7,415.0,355.0,5.780132505608007,0.5089988640734151
8,462.0,371.0,8.082099222703318,0.48072591969804035
9,472.0,398.0,8.568334289738639,0.4333872972997149
10,491.0,401.0,9.499437633679376,0.4280314481722317
11,521.0,418.0,10.96775835985184,0.3980984410078443
12,534.0,449.0,11.600479941572326,0.3437385401107307
13,579.0,458.0,13.805440033387237,0.32773539171578603
14,585.0,473.0,14.097361364703422,0.3014337719023642
15,628.0,491.0,16.202910949971297,0.26967970448020195
16,640.0,510.0,16.788406280974492,0.23634070642111582
17,661.0,511.0,17.8178684334081,0.23447671350500443
18,701.0,529.0,19.776330533674162,0.20273874582971851
19,749.0,540.0,22.128077625332566,0.1832169083119417
20,751.0,553.0,22.224182795137985,0.16043934420364392
21,797.0,549.0,24.480125202149303,0.16719766017012072
22,798.0,559.0,24.52765193802493,0.14967934670804894
23,837.0,558.0,26.439939485627832,0.1512213446866364
24,872.0,575.0,28.15340602013668,0.12126150461078877
25,897.0,576.0,29.378984819239392,0.11937604536550905
26,900.0,586.0,29.524569878449576,0.1018469987388535
27,967.0,590.0,32.80892273984037,0.0944822589733727
28,1034.0,596.0,36.09297511607282,0.08361492983193664
29,1040.0,605.0,36.385797902864006,0.06782107814638261
30,1204.0,602.0,44.427031144034636,0.07219484271441745
